,PHI,TETA,PSI,X_ECI,Y_ECI,Z_ECI,latitude,longitude,Data,x,y,z,N1_X,N1_Y,N1_Z,N2_X,N2_Y,N2_Z,N3_X,N3_Y,N3_Z,N4_X,N4_Y,N4_Z,N5_X,N5_Y,N5_Z,N6_X,N6_Y,N6_Z,Terra_X,Terra_Y,Terra_Z,r,fim
414,-1.4266481765077905e-14,1.108284070908923,2.495967811011714,,,,,,2022-05-10 19:09:10,,,,-0.7987239565895777,0.26847617006591973,0.5384798856750601,-0.6016976326776519,-0.3563888856447232,-0.7148055127228818,0.7987239565895777,-0.26847617006591973,-0.5384798856750601,0.6016976326776519,0.3563888856447232,0.7148055127228818,1.2767564724590076e-14,0.8949343597692782,-0.44619781678573045,-1.2767564724590076e-14,-0.8949343597692782,0.44619781678573045,1685.7832977217738,2336.7108510347057,5673.446929461387,,1
415,-1.4142425401813925e-14,1.1082840708987085,2.5095522520028264,,,,,,2022-05-10 19:09:20,,,,-0.8068237352421013,0.2636102036666957,0.5287202670342672,-0.590792231033875,-0.36000298920330254,-0.7220542829418736,0.8068237352421013,-0.2636102036666957,-0.5287202670342672,0.590792231033875,0.36000298920330254,0.7220542829418736,1.2656542422492664e-14,0.8949343597647205,-0.44619781679487175,-1.2656542422492664e-14,-0.8949343597647205,0.44619781679487175,2110.9116120202702,2342.5323593013795,5526.761360048087,,1
416,-1.4266481764897553e-14,1.108284070888494,2.5231366929939383,,,,,,2022-05-10 19:09:30,,,,-0.8147746273227204,0.2586955921694285,0.5188630814224796,-0.5797778080188324,-0.36355065989869456,-0.7291698094518874,0.8147746273227204,-0.2586955921694285,-0.5188630814224796,0.5797778080188324,0.36355065989869456,0.7291698094518874,1.2767564724298628e-14,0.8949343597601628,-0.44619781680401305,-1.2767564724298628e-14,-0.8949343597601628,0.44619781680401305,219.41027335999865,396.4062514782452,6346.238041081076,,1
417,-1.4638650854324087e-14,1.1082840708782793,2.53672113398505,,,,,,2022-05-10 19:09:40,,,,-0.8225751656199319,0.25373324248801354,0.5089101478275516,-0.5686563961702545,-0.367031243064326,-0.7361507791949378,0.8225751656199319,-0.25373324248801354,-0.5089101478275516,0.5686563961702545,0.367031243064326,0.7361507791949378,1.3100631630000367e-14,0.894934359755605,-0.44619781681315457,-1.3100631630000367e-14,-0.894934359755605,0.44619781681315457,435.33490309830654,796.7525320377769,6297.008468912357,,1
418,-1.4514594491060097e-14,1.108284070868065,2.5503055749761625,,,,,,2022-05-10 19:09:50,,,,-0.830223910667648,0.24872407034567245,0.49886330290611497,-0.5574300477689709,-0.3704440964135667,-0.7429959039433656,0.830223910667648,-0.24872407034567245,-0.49886330290611497,0.5574300477689709,0.3704440964135667,0.7429959039433656,1.2989609327902948e-14,0.8949343597510474,-0.44619781682229565,-1.2989609327902948e-14,-0.8949343597510474,0.44619781682229565,881.475626664985,811.679417906595,6247.358919685047,,1
419,-1.476270721730968e-14,1.1082840708578503,2.563890015967275,,,,,,2022-05-10 19:10:00,,,,-0.8377194510108258,0.24366900010597473,0.48872440064465283,-0.5461008344601944,-0.3737885901582541,-0.7497039205375573,0.8377194510108258,-0.24366900010597473,-0.48872440064465283,0.5461008344601944,0.3737885901582541,0.7497039205375573,1.3211653931647921e-14,0.8949343597464896,-0.44619781683143717,-1.3211653931647921e-14,-0.8949343597464896,0.44619781683143717,1097.3583946422714,1214.1282007147202,6147.2615129895685,,1
420,-1.5010819943556126e-14,1.1082840708476362,2.577474456958387,,,,,,2022-05-10 19:10:10,,,,-0.8450604034659303,0.2385689646022564,0.4784953120173766,-0.5346708468712309,-0.3770641071249097,-0.7562735911190444,0.8450604034659303,-0.2385689646022564,-0.4784953120173766,0.5346708468712309,0.3770641071249097,0.7562735911190444,1.3433698535387828e-14,0.8949343597419321,-0.4461978168405781,-1.3433698535387828e-14,-0.8949343597419321,0.4461978168405781,1550.6448502539813,1227.3771165497062,6045.57881403618,,1
421,-1.5103862215838067e-14,1.108284070837422,2.591058897949499,,,,,,2022-05-10 19:10:20,,,,-0.8522454133761781,0.23342490496548393,0.46817792464096597,-0.5231421942256878,-0.3802700428686308,-0.7627037033589272,0.8522454133761781,-0.23342490496548393,-0.46817792464096597,0.5231421942256878,0.3802700428686308,0.7627037033589272,1.3516965261692563e-14,0.8949343597373746,-0.44619781684971915,-1.3516965261692563e-14,-0.8949343597373746,0.44619781684971915,1752.2780159022266,1618.8907865525805,5897.1044775674745,,1
422,-1.4948791761782193e-14,1.1082840708272073,2.6046433389406114,,,,,,2022-05-10 19:10:30,,,,-0.8592731548615199,0.228237770450581,0.4577741424262386,-0.5115170039542482,-0.38340580578462974,-0.768993070681595,0.8592731548615199,-0.228237770450581,-0.4577741424262386,0.5115170039542482,0.38340580578462974,0.768993070681595,1.3378187384109753e-14,0.8949343597328168,-0.4461978168588607,-1.3378187384109753e-14,-0.8949343597328168,0.4461978168588607,2194.626068004936,1623.2510229966094,5745.78008343511,,1
423,-1.497980585247958e-14,1.108284070816993,2.6182277799317237,,,,,,2022-05-10 19:10:40,,,,-0.8661423310633078,0.22300851826126006,0.4472858852268161,-0.49979742130209037,-0.386470817217404,-0.7751405324836863,0.8661423310633078,-0.22300851826126006,-0.4472858852268161,0.49979742130209037,0.386470817217404,0.7751405324836863,1.3405942959442444e-14,0.8949343597282592,-0.4461978168680018,-1.3405942959442444e-14,-0.8949343597282592,0.4461978168680018,2369.3920124243996,1992.0655617846735,5558.26438933316,,1
424,-1.4824735398426462e-14,1.1082840708067792,2.6318122209228356,,,,,,2022-05-10 19:10:50,,,,-0.8728516743836119,0.21773811337338456,0.43671508848484314,-0.4879856089330148,-0.38946451156752027,-0.7811449543482616,0.8728516743836119,-0.21773811337338456,-0.43671508848484314,0.4879856089330148,0.38946451156752027,0.7811449543482616,1.3267165081864082e-14,0.8949343597237017,-0.4461978168771425,-1.3267165081864082e-14,-0.8949343597237017,0.4461978168771425,2784.6181232094764,1981.791890893259,5366.415830646612,,1
